ZoMo-Programm;Sampling year;Microorganism;Sample type;Superordinate sample origin;Sample origin;Sampling stage;Matrix group;Matrix;Matrix_detail_en;Sampling reason;Number of samples (N), with quantitative analysis;Number of positive samples above the limit of quantification of 10 cfu/g;Proportion (in %) of positive samples above the limit of quantification of 10 cfu/g;Number of positive samples > 100 cfu/g;Proportion (in %) of positive samples > 100 cfu/g;Number of positive samples > 1.000 cfu/g;Proportion (in %) of positive samples > 1.000 cfu/g;Number of positive samples ≥ 10 cfu/g and ≤ 100 cfu/g;Proportion (in %) of positive samples ≥ 10 cfu/g and ≤ 100 cfu/g;Number of positive samples ≥ 10 cfu/g and ≤ 1.000 cfu/g;Proportion (in %) of positive samples ≥ 10 cfu/g and ≤ 1.000 cfu/g;Number of positive samples > 100 cfu/g and ≤ 1.000 cfu/g;Proportion (in %) of positive samples > 100 cfu/g and ≤ 1.000 cfu/g;Number of positive samples > 1.000 cfu/g and  ≤ 10.000 cfu/g;Proportion (in %) of positive samples > 1.000 cfu/g and  ≤ 10.000 cfu/g;Number of positive samples > 10.000 cfu/g and  ≤ 100.000 cfu/g;Proportion (in %) of positive samples > 10.000 cfu/g and  ≤ 100.000 cfu/g;Number of positive samples > 100.000 cfu/g and  ≤ 1.000.000 cfu/g;Proportion (in %) of positive samples > 100.000 cfu/g and  ≤ 1.000.000 cfu/g;Cfu/g of positive samples - Minimum;Cfu/g of positive samples - Median;Cfu/g of positive samples - Mean;Cfu/g of positive samples - Maximum
EB6;2012;Listeria monocytogenes;Food;Food of non-animal origin;Plants;Farm;Vegetables and vegetable products;Leaf salad and lettuce, especially lamb's lettuce, rocket, spinach, iceberg;insb. Feldsalat, Rucola, Spinat, Eisberg;Zoonosen-Monitoring;292;0;0;0;0;;;;;;;;;;;;;;;;;;
EH13;2012;Listeria monocytogenes;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Leaf salad and lettuce, especially lamb's lettuce, rocket, spinach, iceberg;insb. Feldsalat, Rucola, Spinat, Eisberg;Zoonosen-Monitoring;427;2;0.5;0;0;;;;;;;;;;;;;;;;;;20
EH14;2015;Kommensale E. coli ;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Leaf salads, ready-to-eat, chilled;vorgeschnitten, verpackt;Zoonosen-Monitoring;360;14;3.9;;;2;0.6;;;;;;;;;;;;;;;;130000
EH91;2021;Listeria monocytogenes;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Lamb's lettuce, rocket or lettuce, pre-packed;In Fertigpackungen;Zoonosen-Monitoring;433;0;0;;;;;;;;;;;;;;;;;;;;
EH91;2021;Presumptive Bacillus cereus ;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Lamb's lettuce, rocket or lettuce, pre-packed;In Fertigpackungen;Zoonosen-Monitoring;428;200;46.7;;;;;;;112;26.2;;;69;16.1;10;2.3;9;2.1;15;800;;810000
EB91;2022;Presumptive Bacillus cereus ;Food;Food of non-animal origin;Plants;Farm;Vegetables and vegetable products;Lettuce, unwashed;ungewaschen;Zoonosen-Monitoring;207;73;35.5;;;;;;;54;26.1;;;14;6.8;5;2.4;;;100;600;;24000
EH91;2022;Presumptive Bacillus cereus ;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Lettuce, unwashed;ungewaschen;Zoonosen-Monitoring;398;109;27.4;;;;;;;64;16.1;;;36;9;7;1.8;2;0.5;;;;
EH13;2014;ESBL/AmpC-E. coli;Food;Food of non-animal origin;Plants;Retail;Herbs, spices and similar;Fresh herbs, loose or packaged, cut or potted;"lose oder verpackt; geschnitten oder Topfware";Zoonosen-Monitoring;381;17;4.5;;;5;1.3;;;;;;;;;;;;;15;210;;30000
EH13;2016;ESBL/AmpC-E. coli;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Sprouts, loose or packaged;lose oder verpackt;Zoonosen-Monitoring;357;17;4.8;;;3;0.8;;;;;;;;;;;;;;;;72000
EH13;2016;Kommensale E. coli ;Food;Food of non-animal origin;Plants;Retail;Vegetables and vegetable products;Sprouts, loose or packaged;lose oder verpackt;Zoonosen-Monitoring;357;17;4.8;;;3;0.8;;;;;;;;;;;;;;;;72000
